ID;FULL;Label;Character
1012032001;[Intrigued Goddess] Freya;Intrigued Goddess;Freya
1012032002;[Devious Emotion] Freya;Devious Emotion;Freya
1012032003;[Prowling for Lust] Freya;Prowling for Lust;Freya
1012032004;[Banquet Queen] Freya;Banquet Queen;Freya
1012032005;[Elegant Queen] Freya;Elegant Queen;Freya
1012032007;[Beautiful Admirer] Freya;Beautiful Admirer;Freya
1012032008;[Utmost Beauty] Freya;Utmost Beauty;Freya
1012032009;[Queen of Beauty] Freya;Queen of Beauty;Freya
1012032010;[Dreamy Swimmer] Freya;Dreamy Swimmer;Freya
1012032011;[Captivating Beauty] Freya;Captivating Beauty;Freya
1012033001;[God of the Masses] Ganesha;God of the Masses;Ganesha
1012033002;[Mighty Elephant] Ganesha;Mighty Elephant;Ganesha
1012033003;[Masked Lord] Ganesha;Masked Lord;Ganesha
1012033004;[Masked God] Ganesha;Masked God;Ganesha
1012033006;[Maharaja Elephant] Ganesha;Maharaja Elephant;Ganesha
1012034001;[Mother Seedling] Demeter;Mother Seedling;Demeter
1012034002;[Ripe Fruit] Demeter;Ripe Fruit;Demeter
1012034003;[Harvest Goddess] Demeter;Harvest Goddess;Demeter
1012034004;[Golden Wheat] Demeter;Golden Wheat;Demeter
1012034005;[Colonel] Demeter;Colonel;Demeter
1012035001;[Overwhelm] Mia Grand;Overwhelm;Mia Grand
1012035002;[Fertility's Mom] Mia Grand;Fertility's Mom;Mia Grand
1012036001;[Lighthearted] Anya Fromel;Lighthearted;Anya Fromel
1012036002;[Cat-Ears] Anya Fromel;Cat-Ears;Anya Fromel
1012036003;[Clumsy Detective] Anya Fromel;Clumsy Detective;Anya Fromel
1012037001;[God of Medicine] Miach;God of Medicine;Miach
1012037002;[Pharmacist] Miach;Pharmacist;Miach
1012037003;[God Neighbor] Miach;God Neighbor;Miach
1012037004;[New Year Medic] Miach;New Year Medic;Miach
1012038001;[Fearless Smile] Hermes;Fearless Smile;Hermes
1012038002;[God of Traveler] Hermes;God of Traveler;Hermes
1012038003;[Banquet Attire] Hermes;Banquet Attire;Hermes
1012038004;[Producer] Hermes;Producer;Hermes
1012039001;[Workplace Gossip] Misha Flot;Workplace Gossip;Misha Flot
1012039002;[Guild Worker] Misha Flot;Guild Worker;Misha Flot
1012039004;[Summer Break] Misha Flot;Summer Break;Misha Flot
1012040001;[Far East God] Takemikazuchi;Far East God;Takemikazuchi
1012040002;[War Incarnation] Takemikazuchi;War Incarnation;Takemikazuchi
1012040003;[Battle God] Takemikazuchi;Battle God;Takemikazuchi
1012040004;[Winter War God] Takemikazuchi;Winter War God;Takemikazuchi
1012041001;[Sinister Cat] Chloe Lolo;Sinister Cat;Chloe Lolo
1012041002;[The Sly Cat] Chloe Lolo;The Sly Cat;Chloe Lolo
1012042001;[Fertility Helper] Lunor Faust;Fertility Helper;Lunor Faust
1012042003;[Prideful Waitress] Lunor Faust;Prideful Waitress;Lunor Faust
1012042004;[Dungeon Waitress] Lunor Faust;Dungeon Waitress;Lunor Faust
1012043001;[White Healer] Amid Teasanare;White Healer;Amid Teasanare
1012043002;[Modern Medicine] Amid Teasanare;Modern Medicine;Amid Teasanare
1012044002;[Tipsy Gaze] Dionysus;Tipsy Gaze;Dionysus
1012044003;[Classy God] Dionysus;Classy God;Dionysus
1012044004;[Splendid Nobleman] Dionysus;Splendid Nobleman;Dionysus
1012044005;[God of Wine] Dionysus;God of Wine;Dionysus
1012045001;[Elder Smith] Goibniu;Elder Smith;Goibniu
1012045002;[Godly Swordsmith] Goibniu;Godly Swordsmith;Goibniu
1012046001;[God of Origins] Goibniu;God of Origins;Goibniu
1012046002;[Godly Swordsmith] Goibniu;Godly Swordsmith;Goibniu
1012051001;[Little Dame] Riveria (Girl);Little Dame;Riveria (Girl)
1012053001;[Elven Childhood] Lefiya (Girl);Elven Childhood;Lefiya (Girl)
1012061001;[Young Blacksmith] Hephaistios (Girl);Young Blacksmith;Hephaistios (Girl)
1012062001;[Little Goddess] Hestia (Girl);Little Goddess;Hestia (Girl)
1012072001;[Vigorous Medi-God] Diancecht;Vigorous Medi-God;Diancecht
1012078001;[Innocent Goddess] Artemis;Innocent Goddess;Artemis
1012078002;[Sleeping Innocence] Artemis;Sleeping Innocence;Artemis
1012080001;[Chained Reign] Ariadne;Chained Reign;Ariadne
1012080002;[Final Reminiscence] Ariadne;Final Reminiscence;Ariadne
1012082001;[In The End] Orna;In The End;Orna
1012087001;[Nomadic Bard] Ryulu;Nomadic Bard;Ryulu
1012088001;[God of Light] Apollo;God of Light;Apollo
1012089001;[Sacred Cup] Soma;Sacred Cup;Soma
1012093001;[The Night Queen] Ishtar;The Night Queen;Ishtar
1012096001;[God of War] Ares;God of War;Ares
1012504001;[Explosive Girl] Ti;Explosive Girl;Ti
1012509001;[Sharp Thinker] Armin Arlert;Sharp Thinker;Armin Arlert
1012511001;[Uncontrollable] Titan Eren;Uncontrollable;Titan Eren
1012512001;[Princess] Crunchyroll-Hime;Princess;Crunchyroll-Hime
1012519001;[Berserk] Kaguya & Liliruca;Berserk;Kaguya & Liliruca
1012520001;[Efreet] Kotori Itsuka;Efreet;Kotori Itsuka
1012524001;[At Home] Cow Girl;At Home;Cow Girl
1012525001;[Hero of Six] Sword Maiden;Hero of Six;Sword Maiden
